Id,Domanda,Opzione corretta,Opzioni
207,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Aperte"".:",b,"a) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 b) Procedure di affidamento per le quali ogni operatore economico interessato può presentare un'offerta in risposta ad un avviso di indizione di gara
 c) La 1°fase di tali procedure coincide con le Procedure ristrette, ai fini della presentazione delle offerte iniziali
 d) Esse generano un processo per fasi successive, di presentazione di nuovi prezzi, modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, successivo a una prima valutazione completa delle offerte, la cui classificazione può essere effettuata sulla base di un trattamento automatico
 "
208,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Negoziate"".:",a,"a) Procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 b) La 1°fase di tali procedure coincide con le Procedure ristrette, ai fini della presentazione delle offerte iniziali
 c) Esse generano un processo per fasi successive, di presentazione di nuovi prezzi, modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, successivo a una prima valutazione completa delle offerte, la cui classificazione può essere effettuata sulla base di un trattamento automatico
 d) Sistemi di presentazione delle offerte sotto forma di o che includano un catalogo elettronico, eventualmente corredate di altri documenti, a completamento dell'offerta
 "
209,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Procedure Ristrette"".:",d,"a) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 b) La 1°fase di tali procedure coincide con le Procedure ristrette, ai fini della presentazione delle offerte iniziali
 c) Esse generano un processo per fasi successive, di presentazione di nuovi prezzi, modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, successivo a una prima valutazione completa delle offerte, la cui classificazione può essere effettuata sulla base di un trattamento automatico
 d) Procedure di affidamento per le quali ogni operatore economico può presentare domanda di partecipazione, in risposta a un avviso, fornendo le informazioni richieste ai fini della valutazione qualitativa e in cui possono presentare offerta gli operatori economici giudicati idonei e invitati
 "
210,"Indicare, tra le seguenti opzioni di risposta, la corretta definizione di ""Sistema Dinamico di Acquisizione"":",d,"a) Si tratta di una procedura di scelta del contraente in cui qualsiasi operatore economico può chiedere di partecipare in base ad un bando di gara o ad un avviso di indizione di gara, ma le stazioni appaltanti avviano un dialogo solo con gli operatori che, sulla base delle informazioni fornite, vengono invitate
 b) La 1°fase di tali procedure coincide con le Procedure ristrette, ai fini della presentazione delle offerte iniziali
 c) Esse generano un processo per fasi successive, di presentazione di nuovi prezzi, modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, successivo a una prima valutazione completa delle offerte, la cui classificazione può essere effettuata sulla base di un trattamento automatico
 d) Processo per acquisti di uso corrente, le cui caratteristiche generalmente disponibili sul mercato soddisfano le esigenze di una stazione appaltante, anche sopra soglia
 "
211,"La ""Determina a contrarre"" è:",c,"a) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 b) Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura
 c) un atto formalmente necessario per la Stazione appaltante
 d) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 "
212,"La ""Determina"" è:",b,"a) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 b) un atto formalmente necessario per la Stazione appaltante
 c) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 d) Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura
 "
213,"La ""procedura ristretta"" consiste:",c,"a) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 b) Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura
 c) in una procedura di affidamento alla quale ogni operatore economico può chiedere di partecipare e in cui possono presentare un'offerta soltanto gli operatori economici invitati dalle stazioni appaltanti
 d) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 "
214,La Banca Dati Nazionale dei Contratti Pubblici è gestita da:,a,"a) ANAC
 b) carattere meramente interno rispetto al Soggetto Aggiudicatore di pertinenza
 c) Al 2% del prezzo base indicato nel bando o nell'invito, sotto forma di cauzione o di fideiussione, a scelta dell'offerente
 d) Appositi bandi
 "
215,"La capacità tecnica del prestatore d'opera può essere soggetta ai criteri di valutazione in caso di aggiudicazione al ""minor prezzo""?",d,"a) Darne una motivazione adeguata e indicare nel bando il criterio applicato ai fini della selezione della migliore offerta
 b) Può stabilire che non si proceda all'aggiudicazione, soltanto, tuttavia, qualora di tale facoltà sia stata data indicazione espressa nel bando di gara o nella lettera d'invito
 c) I ""contratti attivi"" sono quelli dai quali deriva un'entrata per lo Stato e che non producono spesa
 d) L'unico criterio di aggiudicazione è il prezzo più basso, quindi la risposta è no
 "
216,La commissione aggiudicatrice deve:,d,"a) alla natura, all'oggetto e alle caratteristiche del contratto
 b) alla nomina del direttore dei lavori e dei collaudatori
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) lavorare con il plenum dei suoi componenti
 "
217,La commissione di aggiudicazione deve essere composta:,d,"a) un responsabile unico del procedimento (RUP) per le fasi della programmazione, della progettazione, dell'affidamento, dell'esecuzione
 b) è effettuata dopo la scadenza del termine fissato per la presentazione delle offerte
 c) dispari di componenti con un massimo di cinque
 d) da non più di 5 membri
 "
218,"La commissione di valutazione, nell'ambito delle procedure di appalto pubblico:",b,"a) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 b) E' costituta da un numero dispari di commissari, non superiore a cinque
 c) è effettuata dopo la scadenza del termine fissato per la presentazione delle offerte
 d) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 "
219,"La consegna dei lavori è effettuata dal Direttore dei lavori, previa disposizione:",c,"a) con determina del responsabile del servizio
 b) Sì, sempre
 c) del RUP
 d) E' superiore a 100.000 Euro
 "
220,"La domanda di partecipazione, ai sensi dell'art. 91, comma 2, del D.Lgs.36/2023, contiene :",b,"a) L'idoneità professionale; la capacità economica e finanziaria; le capacità tecniche e professionali
 b) gli elementi di identificazione del concorrente e l'indicazione della forma giuridica con la quale si presenta in gara, l'eventuale dichiarazione della volontà di avvalersi di impresa ausiliaria, nonché l'indicazione dei dati e dei documenti relativi ai requisiti speciali di partecipazione
 c) le stazioni appaltanti favoriscono l'inserimento nel contratto di clausole di rinegoziazione
 d) fissa le regole per lo svolgimento del procedimento di selezione delle offerte
 "
221,La durata dei contratti pubblici è presente:,a,"a) nella Determina a contrattare
 b) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 c) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 d) rileva per il calcolo della cauzione provvisoria
 "
222,La durata della nomina dei Punti Istruttori è stabilita:,c,"a) un responsabile unico del procedimento (RUP) per le fasi della programmazione, della progettazione, dell'affidamento, dell'esecuzione
 b) il numero di candidati idonei da invitare a partecipare alla procedura
 c) dal Soggetto Aggiudicatore che l'ha nominato
 d) la vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi
 "
223,La durata delle concessioni è:,b,"a) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 b) limitata
 c) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 d) con determina del responsabile del servizio
 "
224,La durata delle concessioni è:,c,"a) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 b) dal responsabile unico del procedimento, congiuntamente al direttore dei lavori, per i lavori, o dal direttore dell'esecuzione del contratto, per i servizi e le forniture
 c) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 d) le procedure in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 "
225,"La fase finale della procedura di scelta, da parte di una Pubblica Amministrazione, di un contraente mediante procedura aperta si chiama:",b,"a) Con la determinazione a contrarre
 b) aggiudicazione
 c) Procedura aperta
 d) Procedura ristretta
 "
226,La forma è:,d,"a) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 b) dal responsabile unico del procedimento, congiuntamente al direttore dei lavori, per i lavori, o dal direttore dell'esecuzione del contratto, per i servizi e le forniture
 c) un atto formalmente necessario per la Stazione appaltante
 d) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 "
227,"La gara a ""procedura negoziata"" può essere utilizzata anche senza previa pubblicazione?",d,"a) Si, è vincolante per il periodo indicato nel bando o nell'invito e, in caso di mancata indicazione, per centottanta giorni dalla scadenza del termine per la sua presentazione
 b) Ogni operatore economico può chiedere di partecipare, ma potranno partecipare solo gli operatori invitati dalla stazione appaltante
 c) Le caratteristiche tecnico-organizzative e economiche-finanziarie che l'impresa deve possedere per partecipare alla gara
 d) Solo nei casi espressamente prevista dalla legge
 "
228,La garanzia definitiva che l'appaltatore è obbligato a costituire può essere costituita anche mediante fideiussione assicurativa?,a,"a) Si
 b) 2% dell'importo a base d'asta
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 "
229,La garanzia definitiva che l'appaltatore è obbligato a costituire può essere costituita anche mediante fideiussione bancaria?,a,"a) Si
 b) 2% dell'importo a base d'asta
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 "
230,"La garanzia fideiussoria, denominata ""garanzia provvisoria"", presentata dal partecipante a corredo della propria offerta in sede di gara, è pari al:",b,"a) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 b) 2% dell'importo a base d'asta
 c) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 d) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 "
231,La P.A. può recedere da un contratto qualora...,d,"a) due consecutivi affidamenti abbiano a oggetto una commessa rientrante nello stesso settore merceologico o stessa categoria di opere o settore di servizi
 b) riservata a coloro che siano stati invitati a partecipare dalla stessa Pubblica Amministrazione
 c) 500.000 euro o di quanto indispensabile per rimuovere lo stato di pregiudizio alla pubblica e privata incolumità
 d) Sia previsto dalla legge o dal contratto medesimo
 "
232,La procedura di stipula di un contratto ha inizio con la determina (o decreto) a contrattare. Tale atto:,b,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) Deve riportare, tra l'altro, i criteri di selezione del contraente
 c) Sì
 d) Si, sono tenuti a rispettare gli obblighi stabiliti dalla normativa europea e nazionale e dai contratti collettivi
 "
233,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,c,"a) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 b) alla nomina del direttore dei lavori e dei collaudatori
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 "
234,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,a,"a) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 b) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 c) alla nomina del direttore dei lavori e dei collaudatori
 d) sarà imputato direttamente ed esclusivamente al Soggetto Aggiudicatore di appartenenza, con conseguente obbligo di darne attuazione
 "
235,La procedura di stipula di un contratto pubblico ha inizio con la determina (o decreto) a contrarre. La determina a contrarre:,a,"a) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 b) sono resi disponibili in forma digitale, in modo gratuito, illimitato e diretto
 c) alla nomina del direttore dei lavori e dei collaudatori
 d) carattere meramente interno rispetto al Soggetto Aggiudicatore di pertinenza
 "
236,La progettazione in materia di lavori pubblici si articola secondo tre livelli di successivi approfondimenti tecnici:,c,"a) Definisce gli acquisti di beni e di servizi di importo unitario stimato pari o superiore a 40.000 euro
 b) pubblicano un avviso di indizione di gara precisando che si tratta di un sistema dinamico di acquisizione
 c) progetto di fattibilità tecnica ed economica, progetto definitivo e progetto esecutivo
 d) il numero delle procedure aggiudicate con il criterio dell'offerta economicamente più vantaggiosa rispetto al totale delle procedure
 "
237,"La progettazione in materia di lavori pubblici, si articola in due livelli, come indicato all'art.41 del D.Lgs. 36/2023. Quali sono?",a,"a) Il progetto di fattibilità tecnico-economica e il progetto esecutivo
 b) Sì, nei limiti delle proprie competenze professionali, a condizione che sia in possesso del titolo di studio, della formazione e dell'esperienza professionale necessaria e che non intervengano cause ostative alla coincidenza delle figure indicate nelle citate Linee guida
 c) La garanzia è progressivamente svincolata a misura dell'avanzamento dell'esecuzione, nel limite massimo dell'80% dell'iniziale importo garantito, senza necessità di nulla osta del committente, ma con preventiva consegna degli stati di avanzamento lavori o documenti analoghi, attestanti l'avvenuta esecuzione
 d) Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti, in conformita' ai propri ordinamenti, decretano o determinano di contrarre
 "
238,La proposta di aggiudicazione:,c,"a) è redatto sulla base dell'avvenuto svolgimento di indagini geologiche, idrogeologiche, idrologiche, idrauliche, geotecniche, sismiche, storiche, paesaggistiche ed urbanistiche, di verifiche preventive dell'interesse archeologico, di studi preliminari sull'impatto ambientale
 b) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 c) è soggetta ad approvazione dell'organo competente secondo l'ordinamento della stazione appaltante e nel rispetto dei termini dallo stesso previsti
 d) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 "
239,La Pubblica Amministrazione può scegliere i propri contraenti attraverso una procedura ristretta. Tale procedura consiste in una gara:,b,"a) è effettuata dopo la scadenza del termine fissato per la presentazione delle offerte
 b) riservata a coloro che siano stati invitati a partecipare dalla stessa Pubblica Amministrazione
 c) 500.000 euro o di quanto indispensabile per rimuovere lo stato di pregiudizio alla pubblica e privata incolumità
 d) Deve indicare, tra l'altro, gli elementi essenziali del contratto
 "
240,La Pubblica Amministrazione può stipulare contratti?,c,"a) La stazione appaltante
 b) Solo nei casi espressamente prevista dalla legge
 c) Sì
 d) Ogni operatore economico interessato
 "
241,La pubblicazione dei bandi sotto soglia sulla Gazzetta Ufficiale dell'Unione Europea:,d,"a) un Responsabile Unico del Procedimento
 b) il numero di candidati idonei da invitare a partecipare alla procedura
 c) dispari di componenti con un massimo di cinque
 d) non è obbligatoria
 "
242,"La sigla RUP, nell'ambito del Codice dei contratti pubblici, indica il __________"": quale risposta completa correttamente la frase?",b,"a) Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura
 b) responsabile unico del progetto
 c) Nei casi in cui l'Amministrazione dia il via ad una procedura negoziata, al fine di motivare la scelta di questo tipo di procedura
 d) Sistemi di presentazione delle offerte sotto forma di o che includano un catalogo elettronico, eventualmente corredate di altri documenti, a completamento dell'offerta
 "
243,"La sigla RUP, nell'ambito del Codice dei contratti pubblici, indica:",a,"a) il responsabile unico del progetto
 b) sull'aggiudicatario e sul concorrente che lo segue in graduatoria
 c) vige per gli acquisti di beni e servizi di importo pari o superiore a 5.000 euro e al di sotto della soglia di rilievo comunitario
 d) Un processo per fasi successive basato su un dispositivo elettronico di presentazione di nuovi prezzi modificati al ribasso o di nuovi valori riguardanti taluni elementi delle offerte, che interviene dopo una prima valutazione completa delle offerte permettendo che la loro classificazione possa essere effettuata sulla base di un trattamento automatico
 "
244,La società Consip è sottoposta al controllo:,d,"a) Deve riportare, tra l'altro, i criteri di selezione del contraente
 b) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 c) è soggetta ad approvazione dell'organo competente secondo l'ordinamento della stazione appaltante e nel rispetto dei termini dallo stesso previsti
 d) Della Corte dei Conti perché azienda che opera con risorse esclusivamente pubbliche
 "
245,"La soglia di rilevanza comunitaria prevista dal Codice dei contratti pubblici per gli appalti di servizi e forniture, per l'anno 2022 è di:",d,"a) Definisce gli acquisti di beni e di servizi di importo unitario stimato pari o superiore a 40.000 euro
 b) Una valutazione equa ed imparziale dei concorrenti e l'eliminazione di ostacoli o restrizioni nella predisposizione delle offerte e nella loro valutazione
 c) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 d) € 140.000 o € 215.000 a seconda dell'amministrazione aggiudicatrice
 "
246,La sospensione del contratto da chi può essere disposta?,c,"a) Le stazioni appaltanti e gli enti aggiudicatori
 b) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 c) Dal RUP per ragioni di necessità o di pubblico interesse, tra cui l'interruzione di finanziamenti per esigenze sopravvenute di finanza pubblica, disposta con atto motivato delle amministrazioni competenti
 d) Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""
 "
247,La sospensione del contratto da chi può essere disposta?,a,"a) Dal RUP per ragioni di necessità o di pubblico interesse, tra cui l'interruzione di finanziamenti per esigenze sopravvenute di finanza pubblica, disposta con atto motivato delle amministrazioni competenti
 b) Le stazioni appaltanti e gli enti aggiudicatori
 c) Il codice CIG - Codice Identificativo di Gara - è il codice che identifica il singolo affidamento nell'ambito del progetto ed è divenuto ora obbligatorio, ai fini della tracciabilità dei flussi finanziari, in relazione a ciascun contratto pubblico avente ad oggetto lavori, servizi e forniture, a prescindere dall'importo dello stesso e dalla procedura di affidamento prescelta
 d) Il codice CUP (Codice Unitario di Progetto) è obbligatorio solamente con riguardo ad ""ogni nuovo progetto di investimento pubblico""
 "
248,La stazione appaltante o l'ente concedente può indire il dibattito pubblico ai sensi dell'art. 40 comma 1 del D.Lgs. 36/2023?,c,"a) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 b) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 c) Sì, ove ne ravvisi l'opportunità
 d) a quattro anni, salvo casi eccezionali debitamente motivati
 "
249,La stipulazione dei contratti pubblici segue:,a,"a) le regole del diritto privato
 b) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 c) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 d) Prima dell'avvio delle procedure di affidamento
 "
250,La stipulazione dei contratti pubblici segue:,a,"a) le regole del diritto privato
 b) limitata e determinata nel bando di gara dall'amministrazione aggiudicatrice o dall'ente aggiudicatore in funzione dei lavori o servizi richiesti al concessionario
 c) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 d) Prima dell'avvio delle procedure di affidamento
 "
251,La Trattativa Diretta sul MEPA:,b,"a) carattere meramente interno rispetto al Soggetto Aggiudicatore di pertinenza
 b) E' una modalita' di negoziazione prevista dal Codice degli Appalti Pubblici (D. Lgs. 50/2016) che consente all'interno del MEPA di negoziare direttamente con un unico operatore economico
 c) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 d) Processo per acquisti di uso corrente, le cui caratteristiche generalmente disponibili sul mercato soddisfano le esigenze di una stazione appaltante, anche sopra soglia
 "
252,"La vigilanza e il controllo sui contratti pubblici e l'attività di regolazione degli stessi, sono attribuiti, nei limiti di quanto stabilito dal codice dei contratti pubblici:",c,"a) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 b) il numero di candidati idonei da invitare a partecipare alla procedura
 c) All'Autorità nazionale anticorruzione (ANAC)
 d) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 "
253,"L'affidamento e l'esecuzione di appalti e concessioni si svolge, tra gli altri, nel rispetto del principio di:",c,"a) triennale
 b) No, non equivale ad accettazione dell'offerta
 c) economicità
 d) Si, sono tenuti a rispettare gli obblighi stabiliti dalla normativa europea e nazionale e dai contratti collettivi
 "
254,L'aggiudicazione del contratto:,b,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) diventa efficace a seguito della verifica del possesso dei requisiti prescritti nel bando
 c) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 d) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 "
255,"L'amministrazione aggiudicatrice o ente aggiudicatore che affida contratti di concessione di lavori o di servizi e che è comunque tenuto, nella scelta del contraente, al rispetto del D.Lgs. 36/2023 e s.m.i., si chiama:",c,"a) Entro cinque giorni dall'adozione del provvedimento
 b) La domanda di partecipazione; il documento di gara unico europeo; l'offerta; ogni altro documento richiesto per la partecipazione alla procedura di gara
 c) ente concedente
 d) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 "
256,L'ANAC garantisce la promozione dell'efficienza e della qualità dell'attività delle stazioni appaltanti attraverso:,c,"a) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 b) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 c) linee guida, bandi-tipo, capitolati-tipo, contratti-tipo ed altri strumenti di regolazione flessibile, comunque denominati
 d) pubblicano un avviso di indizione di gara precisando che si tratta di un sistema dinamico di acquisizione
 "
257,"L'appaltatore, per la sottoscrizione del contratto:",c,"a) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 b) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 c) deve costituire una garanzia denominata ""garanzia definitiva""
 d) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 "
258,L'approvazione di un contratto per lavori pubblici deve essere assunta:,d,"a) deve costituire una garanzia denominata ""garanzia definitiva""
 b) Deve indicare, tra l'altro, i criteri di selezione delle offerte
 c) Deve indicare, tra l'altro, quanto indicato nelle altre alternative di risposta
 d) con determina del responsabile del servizio
 "
259,L'attività svolta dai Punti Istruttori ha:,d,"a) Un elemento essenziale del contratto se previsto dalla legge a pena di nullita'
 b) esclusivamente in nome e per conto del Soggetto Aggiudicatore di appartenenza cui è associato
 c) Prima dell'avvio delle procedure di affidamento dei contratti pubblici, le stazioni appaltanti, in conformita' ai propri ordinamenti, decretano o determinano di contrarre
 d) carattere meramente interno rispetto al Soggetto Aggiudicatore di pertinenza
 "
260,"Le ""amministrazioni aggiudicatrici"" sono:",a,"a) le amministrazioni dello Stato; gli enti pubblici territoriali; gli altri enti pubblici non economici; gli organismi di diritto pubblico; le associazioni, unioni, consorzi, comunque denominati, costituiti da detti soggetti
 b) verifica esclusivamente il possesso da parte dell'aggiudicatario dei requisiti economici e finanziari e tecnico-professionali
 c) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 d) il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali
 "
261,Le amministrazioni abilitate possono concludere accordi specifici dopo gli accordi quadri?,d,"a) Se nessuna delle offerte ricevute risulti conveniente o idonea in relazione all'oggetto del contratto
 b) Si, lo prevede espressamente il Codice dei contratti pubblici senza rinunciare al livello qualitativo delle prestazioni
 c) No, le procedure di affidamento devono aver luogo nel rispetto degli atti di programmazione
 d) Si, queste provvedono a negoziare i singoli contratti
 "
262,Le Amministrazioni abilitate possono fare acquisti in MEPA al di sopra di un milione di euro?,c,"a) Un codice alfanumerico univoco e obbligatorio che identifica una gara d'appalto
 b) Le Amministrazioni abilitate possono acquistare i beni e servizi offerti da fornitori abilitati per valori inferiori alla soglia comunitaria
 c) No, gli acquisti in MEPA devono essere fatti al di sotto la soglia minima comunitaria
 d) Nelle procedure aperte tutti gli operatori economici possono partecipare alla gara, mentre in quelle ristrette la procedura di aggiudicazione si svolge tra operatori economici che sono già stati selezionati e invitati dall'Amministrazione aggiudicatrice
 "
263,Le Amministrazioni aggiudicatrici adottano:,b,"a) qualsiasi operatore economico può presentare una domanda di partecipazione in risposta a un avviso di indizione di gara, fornendo le informazioni richieste dall'ente aggiudicatore per la selezione qualitativa
 b) il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali
 c) le amministrazioni dello Stato; gli enti pubblici territoriali; gli altri enti pubblici non economici; gli organismi di diritto pubblico; le associazioni, unioni, consorzi, comunque denominati, costituiti da detti soggetti
 d) decretano o determinano di contrarre, individuando gli elementi essenziali del contratto e i criteri di selezione degli operatori economici e delle offerte
 "
264,Le amministrazioni aggiudicatrici sono tenute ad adottare il programma biennale degli acquisti di beni e servizi?,d,"a) Sì
 b) Si, devono essere pubblicati nella sezione ""Amministrazione trasparente""
 c) Prima dell'avvio delle procedure di affidamento
 d) Si
 "
265,Le attività principali della commissione di aggiudicazione sono?,a,"a) Attività di natura tecnica relativa alla valutazione delle offerte presentate
 b) La stazione appaltante tra i membri della commissione
 c) La possibilità di una concorrenza effettiva e sono accompagnati da specifiche che consentono l'efficace verifica delle informazioni fornite dagli offerenti, al fine di valutare il grado di soddisfacimento dei criteri di aggiudicazione delle offerte
 d) Procedure aperte (D.lgs. 36/2023 e s.m.i.)
 "
266,Le capacità tecniche e professionali:,a,"a) sono attinenti e proporzionate all'oggetto dell'appalto, tenendo presente l'interesse pubblico ad avere il più ampio numero di potenziali partecipanti, nel rispetto dei principi di trasparenza e rotazione
 b) il programma biennale degli acquisti di beni e servizi e il programma triennale dei lavori pubblici, nonché i relativi aggiornamenti annuali
 c) della SOA per la categoria e classifica prevista dal bando di gara
 d) le offerte che appaiono anormalmente basse, sulla base di un giudizio tecnico sulla congruità, serietà, sostenibilità e realizzabilità dell'offerta
 "
267,Le cause di esclusione degli operatori economici di cui agli artt. 94 e 95 del D.Lgs. n.36/2023:,c,"a) affidamento diretto per lavori di importo inferiore a 150.000 euro, anche senza consultazione di più operatori economici
 b) Sì, sempre
 c) sono tassative
 d) Euro 5.382.000
 "
268,Le centrali di committenza sono tenute:,a,"a) all'osservanza del codice degli appalti
 b) nel contratto con il quale l'appaltatore affida a terzi l'esecuzione di parte delle prestazioni o lavorazioni oggetto del contratto di appalto
 c) le procedure in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 d) le procedure di affidamento in cui le stazioni appaltanti consultano gli operatori economici da loro scelti e negoziano con uno o più di essi le condizioni dell'appalto
 "
